srcMac,dstMac,ethType,vlanId,srcIp,dstIp,ipProto,srcPort,dstPort,priority,icmpType,icmpCode,volumeTransmitted,packetCount
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,clients3.google.com|www.google-analytics.com,*,6,443,*,750,*,*,25390,52
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,browser.sentry-cdn.com,*,6,443,*,750,*,*,32519,45
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,www.gstatic.com|connectivitycheck.gstatic.com,*,6,443,*,750,*,*,76350,74
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,seektables.scdn.co|cast.scdn.co,*,6,443,*,750,*,*,643376,677
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,spclient.wg.spotify.com|api-partner.spotify.com|api.spotify.com,*,6,443,*,750,*,*,183518,851
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,android.googleapis.com|play.googleapis.com|ajax.googleapis.com,*,6,443,*,750,*,*,12195,67
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,www.google.com,*,6,443,*,750,*,*,434966,1982
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,clients3.google.com,*,6,443,*,750,*,*,10548,72
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,android.clients.google.com|clients3.google.com|clients4.google.com,*,6,443,*,750,*,*,284717,218
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,android.clients.google.com|clients3.google.com|clients4.google.com,*,6,443,*,750,*,*,19575,69
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,mtalk.google.com,*,6,5228,*,750,*,*,15858,116
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,android.clients.google.com|clients3.google.com|clients4.google.com|tools.google.com,*,6,443,*,750,*,*,4998,13
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,connectivitycheck.gstatic.com,*,6,443,*,750,*,*,5393,22
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,www.gstatic.com|connectivitycheck.gstatic.com,*,6,80,*,750,*,*,2625,47
52:71:41:2f:b9:07,54:60:09:ff:d8:52,0x0800,*,android.clients.google.com|clients1.google.com,*,6,80,*,750,*,*,357,5
